"model";"code";"marque";"deleted_at";"created_at";"updated_at";"famille_article_id"
"MOTEUR TROMPET EN FER 500W DR-002C";"248008";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET FER 180W IMC";"248014";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET FER 200W DE303";"248013";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET PA AU-60W/16R";"248009";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET PLAST";"248010";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET PLAST DOUBLE PM";"218034";NULL;NULL;"2023-12-12 03:21:10";"2023-12-12 03:21:10";"218"
"MOTEUR TROMPET TDU 341/RL 341 150W";"248001";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR TROMPET TDU 443";"248002";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"248"
"MOTEUR VENTILO BINANONE";"249001";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"249"
"MOTEUR VENTILO CROWN";"249002";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"249"
"MOULLE ELECTRIC KENWOOD";"501107";NULL;NULL;"2023-09-06 14:58:56";"2023-09-06 14:58:56";"501"
"MOUSSE MIC";"215092";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"215"
"MR 4020";"108006";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"108"
"MR 4030";"108007";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"108"
"MR 4040";"108008";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"108"
"MR 4050";"102561";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"102"
"MR 5060";"102562";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"102"
"MR_2062";"102558";NULL;NULL;"2023-09-06 12:44:04";"2023-09-06 12:44:04";"102"
