"model";"code";"marque";"deleted_at";"created_at";"updated_at";"famille_article_id"
"MCZ 3001";"102522";NULL;NULL;"2023-09-06 12:44:01";"2023-09-06 12:44:01";"102"
"MCZ 8002";"102523";NULL;NULL;"2023-09-06 12:44:01";"2023-09-06 12:44:01";"102"
"MCZ 9807";"102524";NULL;NULL;"2023-09-06 12:44:01";"2023-09-06 12:44:01";"102"
"MD 1023";"1031000";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"103"
"MDA 2061";"103998";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"103"
"MDA 2062";"103999";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"103"
"MECHANISME DVD + LENTILE";"215069";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MEMBRN HP 10""";"247001";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 105LET 12""+BOBINE 44.5";"247010";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 15"" ORD 105LET";"247002";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 15"" ORG 105LET";"247003";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 18"" 105LET";"247004";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 4""";"247005";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 5.5P";"247006";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 6.5""";"247007";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP 8""";"247008";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN HP G-12""";"247009";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 34.5"" ALU";"247011";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 34.5"" PLAST";"247012";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 44.5"" ALU";"247013";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 44.5"" ALU+ BORN";"247014";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 51 ALU + BORN";"247015";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 51"" PLAST";"247016";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 61 ALU + BORN";"247017";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MEMBRN TROMPET 64.5""";"247018";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"247"
"MIC + FIL DYNAMIC BE-20";"215086";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC + FIL SHURE SH6-3";"215071";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC + FIL SONY";"215083";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC + FIL YAMAHA DM-30S";"215084";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC +FIL SONY DM-18Y";"215072";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC BALADEUR AHUJA/ CTP-10DX";"215073";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM ATP 100DX";"215074";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM CHOUBOBY GM633";"215075";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM CTP 10DX";"215076";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM MAX DH-744";"215085";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM SHURE 388 SM";"215081";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM SONY SN-2000";"215077";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
"MIC FM SONY SY 338";"215087";NULL;NULL;"2023-09-06 12:44:02";"2023-09-06 12:44:02";"215"
